city,city_stem,status,expected_image_count,finished_image_count,missing_image_count,extra_finished_count,shard_count,missing_examples,extra_examples,error
Dzerzhinsk,dzerzhinsk,complete,29017,29017,0,26935,875,,--Zt3hfEPpy1S5K40p2gfw_0.jpg;--Zt3hfEPpy1S5K40p2gfw_180.jpg;--Zt3hfEPpy1S5K40p2gfw_270.jpg;--Zt3hfEPpy1S5K40p2gfw_90.jpg;--by-WWHiYftlyiHz4Hu4w_0.jpg,
Astrakhan,astrakhan,complete,25844,25844,0,45081,1109,,--Xrk4OdWfJpS5CMrdwVOQ_0.jpg;--Xrk4OdWfJpS5CMrdwVOQ_180.jpg;--Xrk4OdWfJpS5CMrdwVOQ_270.jpg;--Xrk4OdWfJpS5CMrdwVOQ_90.jpg;-0-k7x3v0rPx1N9OPKEkRg_0.jpg,
Tyumen,tyumen,complete,58199,58199,0,17016,1176,,-06D39THZjcMxeHSqya0nA_0.jpg;-06D39THZjcMxeHSqya0nA_180.jpg;-06D39THZjcMxeHSqya0nA_270.jpg;-06D39THZjcMxeHSqya0nA_90.jpg;-2ulWOwyeHGhOJN_QhbH7w_0.jpg,
Saint Petersburg,saintpetersburg,complete,453275,453275,0,344536,12466,,--1PltJ-iBYsqm6lmHVIZw_0.jpg;--1PltJ-iBYsqm6lmHVIZw_180.jpg;--1PltJ-iBYsqm6lmHVIZw_270.jpg;--1PltJ-iBYsqm6lmHVIZw_90.jpg;--69GqMLQgPJ_b3JMTl2Sw_0.jpg,
Moscow,moscow,complete,399083,399083,0,549652,14824,,--2UGtcKtGqh3w6gST4-EA_0.jpg;--2UGtcKtGqh3w6gST4-EA_180.jpg;--2UGtcKtGqh3w6gST4-EA_270.jpg;--2UGtcKtGqh3w6gST4-EA_90.jpg;--5aqxJqqelSe5FB7S7wSQ_0.jpg,
Kigali,kigali,empty_expected,0,0,0,270809,4232,,--1DCxhe0VXvLRGQHeqZxg_0.jpg;--1DCxhe0VXvLRGQHeqZxg_270.jpg;--1DCxhe0VXvLRGQHeqZxg_90.jpg;--6jIZshze_iGSSMB8nGUg_0.jpg;--6jIZshze_iGSSMB8nGUg_270.jpg,
Belgrade,belgrade,empty_expected,0,0,0,128916,2015,,--16F3FuPEtE21YvUEuaqg_0.jpg;--16F3FuPEtE21YvUEuaqg_180.jpg;--16F3FuPEtE21YvUEuaqg_270.jpg;--16F3FuPEtE21YvUEuaqg_90.jpg;--C5UAU7qdcWBTU34LWxIw_0.jpg,
Singapore,singapore,complete,162705,162705,0,245274,6375,,--11nJcK86cHF-VQRJIE0Q_0.jpg;--11nJcK86cHF-VQRJIE0Q_180.jpg;--11nJcK86cHF-VQRJIE0Q_270.jpg;--11nJcK86cHF-VQRJIE0Q_90.jpg;--2TolxBn3L56SObjyUI2w_0.jpg,
Capetown,capetown,complete,137808,137808,0,616888,11793,,--1g74QcwgjCP46YFeItsA_0.jpg;--1g74QcwgjCP46YFeItsA_180.jpg;--1g74QcwgjCP46YFeItsA_270.jpg;--1g74QcwgjCP46YFeItsA_90.jpg;--2HBmAH8pP_pSuQZbEbrg_0.jpg,
Johannesburg,johannesburg,complete,273658,273658,0,1812897,32603,,--0L9wWZ5EkaJZmlH6aQyA_0.jpg;--0L9wWZ5EkaJZmlH6aQyA_180.jpg;--0L9wWZ5EkaJZmlH6aQyA_270.jpg;--0L9wWZ5EkaJZmlH6aQyA_90.jpg;--0Rk32COafS8vzgKxSP5A_0.jpg,
